iter	Passed	Remaining
0	98	989214
1	130	653783
2	161	536518
3	194	484936
4	240	481739
5	273	455222
6	341	488027
7	380	474642
8	416	462340
9	442	441850
10	464	421850
11	491	408742
12	517	397452
13	614	438584
14	659	439034
15	692	432039
16	735	432076
17	766	424968
18	797	418888
19	824	411234
20	869	413019
21	902	409495
22	944	409685
23	997	414817
24	1031	411584
25	1065	408876
26	1112	411101
27	1186	422526
28	1229	422787
29	1289	428503
30	1412	454152
31	1494	465483
32	1583	478292
33	1632	478476
34	1691	481492
35	1797	497540
36	1861	501153
37	1911	500986
38	1960	500655
39	2034	506624
40	2333	566869
41	2392	567357
42	2460	569654
43	2534	573408
44	2592	573560
45	2629	568985
46	2687	569050
47	2731	566417
48	2799	568462
49	2846	566484
50	2898	565422
51	2932	561103
52	2969	557235
53	2999	552443
54	3130	566081
55	3170	562925
56	3204	558906
57	3239	555350
58	3303	556691
59	3395	562480
60	3441	560749
61	3508	562314
62	3551	560133
63	3603	559366
64	3659	559406
65	3695	556163
66	3756	556927
67	3792	553951
68	3824	550481
69	3867	548642
70	3915	547580
71	3948	544395
72	3977	540827
73	4006	537427
74	4032	533647
75	4057	529883
76	4089	526991
77	4119	524074
78	4162	522794
79	4198	520597
80	4247	520155
81	4279	517587
82	4325	516857
83	4353	513975
84	4384	511492
85	4415	509043
86	4440	505912
87	4465	503017
88	4495	500593
89	4519	497594
90	4584	499201
91	4630	498703
92	4660	496501
93	4691	494423
94	4722	492341
95	4761	491252
96	4786	488623
97	4810	486068
98	4837	483776
99	4869	482060
100	4899	480182
101	4930	478499
102	4962	476864
103	4991	474985
104	5022	473332
105	5059	472288
106	5097	471301
107	5136	470482
108	5175	469637
109	5209	468372
110	5252	467932
111	5281	466265
112	5308	464487
113	5347	463706
114	5378	462314
115	5409	460963
116	5444	459870
117	5475	458527
118	5518	458252
119	5550	456984
120	5581	455676
121	5614	454579
122	5677	455913
123	5720	455584
124	5778	456498
125	5836	457383
126	5900	458714
127	5959	459605
128	5998	458975
129	6038	458430
130	6071	457386
131	6176	461759
132	6265	464851
133	6326	465799
134	6414	468759
135	6472	469416
136	6514	469003
137	6565	469173
138	6660	472519
139	6716	473048
140	6778	473994
141	6831	474240
142	6914	476604
143	7010	479824
144	7061	479908
145	7096	478938
146	7135	478305
147	7179	477918
148	7233	478268
149	7324	480985
150	7387	481845
151	7465	483701
152	7509	483337
153	7541	482180
154	7579	481440
155	7613	480426
156	7662	480400
157	7721	480990
158	7844	485513
159	7954	489214
160	7984	487933
161	8040	488287
162	8071	487102
163	8152	488954
164	8197	488614
165	8251	488813
166	8294	488372
167	8321	486992
168	8351	485805
169	8372	484131
170	8394	482510
171	8420	481116
172	8441	479531
173	8464	478005
174	8659	486180
175	8741	487940
176	8775	487013
177	8802	485704
178	8857	485975
179	8886	484830
180	8921	483971
181	8962	483471
182	9003	482967
183	9037	482143
184	9072	481342
185	9105	480457
186	9133	479302
187	9171	478650
188	9211	478157
189	9239	477052
190	9260	475602
191	9286	474386
192	9321	473658
193	9353	472781
194	9385	471916
195	9428	471630
196	9478	471660
197	9534	472029
198	9572	471434
199	9613	471067
200	9667	471291
201	9708	470933
202	9736	469908
203	9765	468957
204	9809	468708
205	9843	467977
206	9872	467076
207	9914	466748
208	9965	466830
209	9996	466028
210	10025	465119
211	10062	464584
212	10097	463961
213	10131	463310
214	10206	464504
215	10276	465483
216	10326	465567
217	10368	465260
218	10412	465037
219	10446	464396
220	10487	464074
221	10544	464419
222	10601	464815
223	10651	464841
224	10717	465608
225	10766	465636
226	10812	465511
227	10890	466764
228	10995	469175
229	11043	469108
230	11101	469488
231	11153	469597
232	11265	472215
233	11331	472928
234	11390	473327
235	11453	473883
236	11571	476659
237	11668	478608
238	11713	478379
239	11746	477683
240	11779	476993
241	11900	479843
242	12007	482109
243	12057	482119
244	12094	481566
245	12134	481123
246	12228	482845
247	12309	484041
248	12349	483600
249	12396	483465
250	12446	483426
251	12506	483784
252	12594	485229
253	12623	484355
254	12669	484190
255	12696	483245
256	12720	482235
257	12784	482722
258	12815	481983
259	12857	481676
260	12909	481718
261	12937	480841
262	12969	480157
263	13026	480389
264	13060	479793
265	13092	479114
266	13132	478736
267	13164	478063
268	13191	477184
269	13212	476138
270	13240	475351
271	13283	475074
272	13319	474561
273	13367	474488
274	13407	474149
275	13441	473578
276	13487	473412
277	13513	472598
278	13539	471761
279	13571	471111
280	13607	470630
281	13638	469991
282	13676	469599
283	13709	469008
284	13730	468052
285	13760	467379
286	13784	466519
287	13808	465666
288	13833	464835
289	13879	464722
290	13924	464586
291	13961	464172
292	13994	463627
293	14023	462951
294	14059	462523
295	14105	462429
296	14130	461651
297	14157	460924
298	14179	460064
299	14219	459773
300	14256	459365
301	14286	458762
302	14314	458112
303	14349	457660
304	14384	457237
305	14450	457794
306	14502	457885
307	14563	458264
308	14593	457676
309	14623	457116
310	14656	456602
311	14690	456146
312	14733	455976
313	14771	455654
314	14812	455434
315	14848	455034
316	14882	454601
317	14910	453959
318	14933	453208
319	14958	452489
320	14982	451756
321	15004	450984
322	15034	450418
323	15059	449725
324	15087	449131
325	15115	448558
326	15160	448458
327	15217	448723
328	15246	448176
329	15281	447794
330	15308	447193
331	15345	446879
332	15382	446551
333	15434	446682
334	15473	446409
335	15515	446261
336	15541	445640
337	15579	445346
338	15608	444831
339	15665	445079
340	15705	444869
341	15735	444377
342	15772	444076
343	15798	443453
344	15879	444401
345	15906	443830
346	15948	443655
347	15999	443757
348	16029	443257
349	16074	443197
350	16099	442572
351	16127	442050
352	16153	441454
353	16183	440967
354	16239	441215
355	16272	440829
356	16306	440453
357	16441	442828
358	16465	442173
359	16490	441579
360	16515	440975
361	16539	440365
362	16565	439794
363	16593	439279
364	16625	438867
365	16662	438603
366	16694	438204
367	16720	437641
368	16741	436950
369	16762	436288
370	16787	435697
371	16886	437039
372	16918	436671
373	16962	436569
374	17004	436443
375	17038	436111
376	17155	437907
377	17185	437461
378	17218	437094
379	17244	436564
380	17284	436367
381	17316	435992
382	17345	435539
383	17379	435204
384	17411	434834
385	17442	434427
386	17471	433982
387	17500	433543
388	17534	433216
389	17583	433276
390	17624	433131
391	17658	432804
392	17705	432807
393	17737	432463
394	17771	432149
395	17804	431793
396	17830	431288
397	17856	430793
398	17883	430316
399	17920	430080
400	17947	429615
401	17977	429225
402	18009	428867
403	18054	428847
404	18177	430644
405	18220	430562
406	18286	431014
407	18362	431696
408	18391	431271
409	18429	431060
410	18481	431185
411	18551	431722
412	18588	431507
413	18615	431031
414	18636	430431
415	18665	430020
416	18689	429494
417	18721	429150
418	18775	429318
419	18806	428972
420	18834	428537
421	18865	428193
422	18893	427768
423	18933	427621
424	19032	428784
425	19130	429936
426	19311	432958
427	19388	433606
428	19449	433918
429	19504	434084
430	19559	434255
431	19609	434323
432	19657	434334
433	19833	437159
434	19881	437156
435	19931	437207
436	19966	436924
437	20006	436769
438	20087	437485
439	20203	438957
440	20263	439236
441	20308	439162
442	20367	439399
443	20478	440749
444	20543	441099
445	20575	440768
446	20612	440519
447	20653	440351
448	20697	440279
449	20780	440997
450	20882	442147
451	20963	442830
452	21065	443962
453	21170	445141
454	21206	444873
455	21255	444875
456	21287	444512
457	21316	444106
458	21432	445509
459	21475	445390
460	21514	445169
461	21546	444827
462	21575	444408
463	21597	443862
464	21622	443384
465	21647	442882
466	21671	442382
467	21704	442073
468	21743	441866
469	21783	441701
470	21834	441746
471	21870	441497
472	21907	441259
473	21940	440942
474	21976	440677
475	22009	440372
476	22066	440545
477	22107	440395
478	22166	440608
479	22207	440442
480	22250	440343
481	22292	440212
482	22325	439909
483	22360	439642
484	22389	439240
485	22421	438925
486	22458	438701
487	22492	438412
488	22524	438098
489	22567	438002
490	22614	437960
491	22651	437748
492	22680	437362
493	22728	437353
494	22758	437011
495	22807	437019
496	22852	436961
497	22939	437702
498	23000	437932
499	23043	437834
500	23069	437397
501	23108	437227
502	23140	436910
503	23162	436404
504	23186	435956
505	23211	435511
506	23233	435014
507	23272	434839
508	23296	434386
509	23327	434080
510	23363	433851
511	23518	435834
512	23565	435794
513	23625	436017
514	23698	436466
515	23749	436516
516	23805	436655
517	23851	436609
518	23934	437236
519	23994	437436
520	24029	437196
521	24077	437173
522	24134	437321
523	24183	437327
524	24248	437620
525	24296	437608
526	24355	437798
527	24413	437970
528	24513	438878
529	24572	439057
530	24619	439016
531	24671	439071
532	24730	439263
533	24813	439866
534	24887	440292
535	25013	441653
536	25079	441951
537	25133	442028
538	25231	442886
539	25318	443547
540	25365	443490
541	25431	443783
542	25486	443876
543	25568	444434
544	25613	444357
545	25688	444803
546	25718	444459
547	25760	444323
548	25795	444063
549	25825	443722
550	25862	443511
551	25885	443052
552	25907	442575
553	25927	442076
554	25950	441630
555	25995	441551
556	26030	441303
557	26057	440928
558	26091	440653
559	26190	441497
560	26222	441199
561	26266	441115
562	26301	440873
563	26336	440618
564	26366	440293
565	26400	440037
566	26435	439793
567	26461	439412
568	26485	438996
569	26513	438628
570	26536	438207
571	26558	437754
572	26605	437717
573	26641	437492
574	26673	437212
575	26721	437190
576	26754	436933
577	26788	436681
578	26819	436385
579	26844	435989
580	26866	435545
581	26895	435225
582	26918	434809
583	26961	434705
584	27003	434586
585	27032	434272
586	27086	434346
587	27116	434050
588	27151	433819
589	27209	433974
590	27270	434156
591	27328	434301
592	27369	434177
593	27439	434500
594	27486	434465
595	27600	435501
596	27682	436017
597	27713	435716
598	27755	435614
599	27784	435297
600	27814	434986
601	27844	434687
602	27874	434392
603	27918	434302
604	27966	434292
605	28059	434965
606	28142	435487
607	28196	435558
608	28251	435642
609	28308	435760
610	28398	436389
611	28466	436679
612	28537	436995
613	28649	437961
614	28734	438486
615	28790	438586
616	28882	439223
617	28932	439231
618	29014	439724
619	29061	439668
620	29127	439908
621	29183	440009
622	29263	440462
623	29318	440534
624	29384	440771
625	29508	441872
626	29616	442731
627	29880	445929
628	29961	446378
629	30228	449594
630	30291	449761
631	30339	449722
632	30427	450258
633	30460	449991
634	30496	449762
635	30519	449343
636	30540	448907
637	30563	448487
638	30586	448073
639	30656	448355
640	30688	448064
641	30728	447914
642	30770	447771
643	30800	447475
644	30873	447784
645	30905	447502
646	30935	447199
647	30993	447307
648	31032	447123
649	31100	447375
650	31123	446966
651	31151	446636
652	31177	446274
653	31221	446169
654	31247	445812
655	31270	445407
656	31313	445306
657	31349	445091
658	31395	445022
659	31424	444700
660	31461	444508
661	31498	444305
662	31543	444231
663	31595	444242
664	31641	444172
665	31693	444191
666	31719	443832
667	31746	443502
668	31771	443134
669	31799	442824
670	31832	442577
671	31859	442235
672	31882	441859
673	31941	441969
674	31967	441628
675	31991	441254
676	32052	441395
677	32088	441193
678	32138	441178
679	32170	440921
680	32198	440619
681	32235	440429
682	32288	440453
683	32355	440678
684	32405	440662
685	32445	440517
686	32482	440330
687	32529	440283
688	32569	440132
689	32610	440009
690	32643	439767
691	32674	439494
692	32700	439170
693	32728	438858
694	32753	438521
695	32777	438169
696	32803	437829
697	32828	437491
698	32855	437181
699	32906	437191
700	32957	437192
701	33026	437435
702	33080	437476
703	33107	437168
704	33146	437013
705	33193	436969
706	33224	436710
707	33250	436394
708	33279	436102
709	33302	435751
710	33327	435418
711	33373	435351
712	33416	435255
713	33463	435218
714	33495	434978
715	33528	434750
716	33557	434472
717	33605	434439
718	33636	434188
719	33660	433852
720	33697	433669
721	33729	433432
722	33760	433183
723	33794	432980
724	33828	432765
725	33863	432576
726	33896	432351
727	33930	432141
728	33979	432127
729	34014	431931
730	34064	431936
731	34119	431993
732	34170	432006
733	34213	431916
734	34251	431752
735	34295	431670
736	34328	431462
737	34359	431215
738	34441	431611
739	34470	431343
740	34510	431218
741	34572	431360
742	34599	431073
743	34622	430729
744	34662	430604
745	34728	430800
746	34757	430533
747	34791	430329
748	34855	430499
749	34882	430212
750	34914	429987
751	34964	429985
752	35019	430041
753	35050	429811
754	35098	429779
755	35128	429534
756	35167	429396
757	35190	429065
758	35211	428713
759	35235	428384
760	35254	428008
761	35278	427689
762	35381	428338
763	35518	429388
764	35573	429435
765	35626	429473
766	35673	429432
767	35722	429418
768	35766	429334
769	35810	429263
770	35852	429161
771	35890	429013
772	35932	428907
773	35980	428888
774	36019	428746
775	36097	429078
776	36149	429094
777	36268	429905
778	36327	430010
779	36376	429994
780	36413	429833
781	36448	429648
782	36489	429531
783	36547	429618
784	36604	429697
785	36663	429792
786	36704	429684
787	36761	429751
788	36810	429737
789	36868	429825
790	36942	430091
791	36995	430118
792	37052	430186
793	37150	430735
794	37276	431614
795	37339	431750
796	37388	431722
797	37435	431685
798	37483	431644
799	37537	431681
800	37572	431495
801	37605	431295
802	37642	431131
803	37673	430900
804	37713	430775
805	37739	430492
806	37763	430184
807	37808	430113
808	37836	429857
809	37861	429567
810	37886	429270
811	37909	428954
812	37959	428944
813	38000	428831
814	38026	428557
815	38058	428347
816	38090	428128
817	38123	427939
818	38168	427872
819	38207	427741
820	38239	427530
821	38266	427266
822	38298	427054
823	38334	426891
824	38360	426619
825	38392	426405
826	38444	426421
827	38481	426268
828	38508	426006
829	38541	425816
830	38574	425621
831	38604	425389
832	38637	425195
833	38693	425258
834	38728	425085
835	38772	425010
836	38809	424861
837	38838	424626
838	38872	424451
839	38914	424348
840	38958	424285
841	38997	424160
842	39027	423932
843	39066	423809
844	39120	423841
845	39143	423546
846	39164	423221
847	39188	422938
848	39331	423932
849	39372	423830
850	39396	423546
851	39418	423239
852	39442	422950
853	39466	422668
854	39494	422427
855	39524	422207
856	39555	421997
857	39600	421947
858	39634	421768
859	39669	421603
860	39735	421763
861	39763	421526
862	39800	421383
863	39832	421188
864	39856	420916
865	39879	420620
866	39901	420325
867	39922	420018
868	39966	419945
869	40074	420552
870	40102	420312
871	40133	420112
872	40164	419914
873	40196	419717
874	40229	419535
875	40259	419322
876	40324	419473
877	40351	419232
878	40379	418995
879	40416	418861
880	40445	418642
881	40480	418485
882	40514	418318
883	40553	418193
884	40589	418046
885	40623	417879
886	40654	417678
887	40687	417507
888	40722	417350
889	40752	417138
890	40825	417370
891	40866	417276
892	40907	417180
893	40938	416987
894	40965	416751
895	41010	416694
896	41055	416643
897	41093	416515
898	41126	416340
899	41171	416285
900	41216	416239
901	41239	415956
902	41260	415664
903	41285	415410
904	41309	415145
905	41337	414926
906	41364	414695
907	41399	414542
908	41430	414354
909	41481	414357
910	41524	414286
911	41559	414133
912	41593	413974
913	41639	413932
914	41672	413766
915	41710	413642
916	41744	413481
917	41775	413297
918	41813	413179
919	41841	412955
920	41885	412897
921	41924	412787
922	41949	412545
923	41977	412326
924	42008	412139
925	42053	412086
926	42102	412077
927	42135	411915
928	42170	411760
929	42205	411621
930	42254	411606
931	42276	411337
932	42297	411048
933	42322	410810
934	42345	410547
935	42370	410307
936	42405	410157
937	42438	409995
938	42473	409851
939	42520	409822
940	42560	409727
941	42586	409495
942	42632	409457
943	42665	409295
944	42697	409123
945	42725	408918
946	42757	408748
947	42864	409290
948	42904	409195
949	42935	409013
950	42980	408969
951	43014	408819
952	43050	408682
953	43083	408521
954	43117	408372
955	43149	408209
956	43180	408030
957	43203	407776
958	43225	407510
959	43249	407269
960	43272	407014
961	43297	406777
962	43369	406989
963	43409	406899
964	43439	406714
965	43475	406578
966	43498	406333
967	43524	406112
968	43623	406568
969	43668	406523
970	43690	406267
971	43712	406002
972	43736	405766
973	43763	405556
974	43792	405364
975	43821	405170
976	43844	404921
977	43876	404755
978	43901	404534
979	43929	404330
980	43955	404110
981	43978	403865
